name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,time_period,time_span,continent,legs
piatnitzkysaurus,carnivorous,Late Jurassic 164-159 million years ago,Argentina,large theropod,4.2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Bonaparte (1979),floresi,https://www.nhm.ac.uk/discover/dino-directory/piatnitzkysaurus.html,Jurassic,5.0,South America,2
pinacosaurus,herbivorous,Late Cretaceous 81-75 million years ago,Mongolia,armoured dinosaur,5.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Gilmore (1933),grangeri,https://www.nhm.ac.uk/discover/dino-directory/pinacosaurus.html,Cretaceous,6.0,Asia,2
podokesaurus,carnivorous,Mid Jurassic 195-180 million years ago,USA,small theropod,0.9,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,Talbot (1911),holyokensis,https://www.nhm.ac.uk/discover/dino-directory/podokesaurus.html,Jurassic,15.0,North America,2
poekilopleuron,carnivorous,Mid Jurassic 169-164 million years ago,France,large theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Eudes-Deslongchamps (1838),bucklandii,https://www.nhm.ac.uk/discover/dino-directory/poekilopleuron.html,Jurassic,5.0,Europe,2
prenocephale,herbivorous,Late Cretaceous 80-65 million years ago,Mongolia,euornithopod,2.4,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Maryańska and Osmólska (1974),prenes,https://www.nhm.ac.uk/discover/dino-directory/prenocephale.html,Cretaceous,15.0,Asia,2
probactrosaurus,herbivorous,Early Cretaceous 121-99 million years ago,China,euornithopod,6.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Rozhdestvensky (1966),gobiensis,https://www.nhm.ac.uk/discover/dino-directory/probactrosaurus.html,Cretaceous,22.0,Asia,2
proceratosaurus,carnivorous,Mid Jurassic 169-164 million years ago,United Kingdom,small theropod,4.1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Woodward (1910),bradleyi,https://www.nhm.ac.uk/discover/dino-directory/proceratosaurus.html,Jurassic,5.0,Europe,2
procompsognathus,carnivorous,Late Triassic 221-210 million years ago,Germany,small theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,Fraas (1913),triassicus,https://www.nhm.ac.uk/discover/dino-directory/procompsognathus.html,Triassic,11.0,Europe,2
prosaurolophus,herbivorous,Late Cretaceous 77-75 million years ago,USA,euornithopod,7.6,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1916),maximus,https://www.nhm.ac.uk/discover/dino-directory/prosaurolophus.html,Cretaceous,2.0,North America,2
protarchaeopteryx,carnivorous,Early Cretaceous 122-120 million years ago,China,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora,Ji and Ji (1997),robusta,https://www.nhm.ac.uk/discover/dino-directory/protarchaeopteryx.html,Cretaceous,2.0,Asia,2
protoceratops,herbivorous,Late Cretaceous 74-70 million years ago,Mongolia,ceratopsian,1.8,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Granger and Gregory (1923),andrewsi,https://www.nhm.ac.uk/discover/dino-directory/protoceratops.html,Cretaceous,4.0,Asia,4
